simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
food-hunt,137,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.03651299168425237, ""food_radius"": 2.1151426806186864, ""food_spawn_min_dist"": 7.96101886607539}, ""point_n"": 100}",0.03032599,0.1618588,76.2342109079284,0.0,12.514694929122925
food-hunt,138,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.03456893535782096, ""food_radius"": 2.8038840497088686, ""food_spawn_min_dist"": 4.017407348922864}, ""point_n"": 100}",0.030042574,0.15390235,71.50327999067726,0.0,12.588308572769165
food-hunt,139,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.09498759097139259, ""food_radius"": 2.222222062653155, ""food_spawn_min_dist"": 6.332956845769268}, ""point_n"": 100}",0.02298137,0.1510861,74.35600873124551,0.0,12.336456298828125
food-hunt,140,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06393927297206597, ""food_radius"": 1.724970691575971, ""food_spawn_min_dist"": 7.9404846836684495}, ""point_n"": 100}",0.027147966,0.16901226,79.12089689057208,0.0,12.263822793960571
food-hunt,141,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0516505690674358, ""food_radius"": 2.802365697280427, ""food_spawn_min_dist"": 4.1694612291616995}, ""point_n"": 100}",-0.03857713,0.15584956,70.57568459399842,0.0,12.370634317398071
food-hunt,142,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06173071431257897, ""food_radius"": 1.6928179007665778, ""food_spawn_min_dist"": 5.096793793844894}, ""point_n"": 100}",-0.025008945,0.16132833,66.93358749426342,0.0,12.361013174057007
food-hunt,143,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.05293538042218974, ""food_radius"": 1.814950550915932, ""food_spawn_min_dist"": 4.129018295684968}, ""point_n"": 100}",-0.024224216,0.15888435,71.62567416036896,0.0,12.307882070541382
food-hunt,144,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0701205814239572, ""food_radius"": 2.3066009496378572, ""food_spawn_min_dist"": 7.122680474150316}, ""point_n"": 100}",-0.06687961,0.15497097,64.94506830515779,0.0,12.326971292495728
food-hunt,145,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0840662015230684, ""food_radius"": 2.039381277615334, ""food_spawn_min_dist"": 6.286313624175284}, ""point_n"": 100}",0.014042724,0.17010029,73.78819713768516,0.0,12.292129516601562
food-hunt,146,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.043591967729954564, ""food_radius"": 2.3156534205944266, ""food_spawn_min_dist"": 7.877991047880862}, ""point_n"": 100}",0.015030913,0.16490409,69.97341674182113,0.0,13.291401624679565
food-hunt,147,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.08541813849500199, ""food_radius"": 2.0721761972118213, ""food_spawn_min_dist"": 7.367160426405855}, ""point_n"": 100}",0.01633511,0.16599865,70.80634505835556,0.0,12.914649486541748
food-hunt,148,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.05993209725064584, ""food_radius"": 2.737262073941708, ""food_spawn_min_dist"": 6.439479693232361}, ""point_n"": 100}",-0.03906965,0.1460669,73.46716528218893,0.0,12.63063359260559
food-hunt,149,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.10176060357382209, ""food_radius"": 2.4633482066009673, ""food_spawn_min_dist"": 6.413721052331045}, ""point_n"": 100}",0.0075216037,0.16127986,71.5624757177539,0.0,12.6824209690094
food-hunt,150,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.09161754736227823, ""food_radius"": 2.527148108050818, ""food_spawn_min_dist"": 4.475548565961802}, ""point_n"": 100}",-0.03911223,0.16015205,66.90543003217346,0.0,12.686487197875977
food-hunt,151,800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.03450783756806137, ""food_radius"": 1.5993113305407503, ""food_spawn_min_dist"": 4.932235327763431}, ""point_n"": 100}",0.007476326,0.15242094,75.62643574784376,0.0,12.539076805114746
